# created: Thu Nov 14 02:00:04 2013
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
4726|2|x-other|❄
9866|4|ja|ぬ~ぼ~ ミニシアター
8552|2|x-kot|킬 미 베이비
839|2|ko|새 천사
5018|2|ko|욕 아나
6140|2|ko|진 린월
2444|2|ko|신 최종 치한 열차
959|4|ko|풀 메탈 패닉 후못후
17|4|ko|풀 메탈 패닉!
6485|2|ko|널 벗긴다
129|4|ko|더 파이팅
1693|2|ko|신 바이블 블랙
5231|2|ko|신 가라테 지옥변
1413|2|ko|두 사람은 프리큐어
728|4|ko|내 청춘의 아르카디아
9713|4|ko|신 아기공룡 둘리
7525|4|ko|내 여동생이 이렇게 귀여울 리가 없어
9134|4|ko|내 여동생이 이렇게 귀여울 리가 없어.
9305|2|ko|내 여자친구와 소꿉친구가 너무 아수라장
351|4|ko|다!다!다!
3508|2|ja|ザ·ボーグマン·ラストバトル
3474|4|ja|おす
7173|4|ja|つぼ
4726|4|ja|ゆき
7894|4|ja|ウモ
667|4|ja|エル
4225|2|ja|オズ
2505|4|ja|ガイ
8315|4|ja|ギョ
8997|4|ja|ゴン
4143|4|ja|ナナ
9557|4|ja|ハル
998|2|ja|メゾ
2855|4|ja|メル
2870|2|ja|ラヴ
1301|2|ko|교정
2573|2|ko|굴절
6754|2|ko|귀부
1348|2|ko|귀작
1712|2|ko|규율
4143|4|ko|나나
4250|2|ko|동라
4569|2|ko|린월
3411|4|ko|망치
1007|4|ko|무밍
1123|2|ko|미괴
1628|2|ko|백귀
5106|4|ko|백실
3447|2|ko|보잉
8855|4|ko|빙과
2596|2|ko|뿌까
3126|2|ko|악희
1256|2|ko|염모
2478|2|ko|월영
1134|2|ko|유작
1695|2|ko|유혹
3468|4|ko|은혼
2514|2|ko|징벌
567|4|ko|철권
3433|4|ko|충사
746|2|ko|취작
241|4|ko|터치
2596|4|ko|푸카
7070|2|ko|하충
5910|2|ko|햑코
32|4|ko|헬싱
3130|2|ko|흑애
6746|4|ja|クプ~!!まめゴマ!
6083|4|ja|キス×シス
2839|4|ja|ガン×ソード
7093|4|ja|ルー=ガルー
1380|2|ko|취작 ~자유~
4352|2|ko|간옥 ~음욕 실험동~
1211|2|ko|타락 ~여교사 파괴~
2518|2|ko|학원 ~치욕의 도식~
243|2|ko|협박 ~끝나지 않는 내일~
8128|2|ko|함정 ~백탁에 물든 방과후~
747|2|ko|취작 ~리플레이~
3524|2|ko|육가 - 타카야나기가의 사람들
429|4|ko|엑스 (극장판)
2374|2|ko|귀작 혼
7118|2|ko|규율 영
4931|4|ko|키스 덤
433|2|ko|아크 더 래드
9771|4|ko|골든 타임
7610|2|ko|공격 찌찌
4932|4|ko|공의 경계
2188|2|ko|더블 위시
6551|2|ko|드림 노트
35|4|ko|러브 히나
7566|2|ko|레이 제로
9237|4|ko|무장 신기
267|2|ko|밤이 온다
8934|4|ko|백곰 카페
306|4|ko|붉은 돼지
3395|4|ko|블랙 라군
7732|2|ko|삼중 에찌
8691|4|ko|액셀 월드
784|2|ko|양의 노래
2053|2|ko|엔젤 코어
4263|2|ko|온천 순환
1130|2|ko|요수 전선
189|2|ko|워즈 워스
8353|4|ko|유루 유리
5452|2|ko|차금 자매
1753|2|ko|초인 로크
5594|2|ko|춘연 소녀
5469|2|ko|특별 병동
1878|2|ko|특별 수업
4524|2|ko|풍덩 가족
758|2|ko|학원 소돔
5980|2|ko|학원 자매
4735|2|ko|누나 임신 믹스
9495|4|ko|아이 마이 미이
851|2|ko|엘프 젊은 새댁
7595|2|ko|처녀 유린 유희
6269|2|ko|최면 능욕 학원
1359|2|ko|최종 치한 전차
8438|4|ko|하얀 마음 백구
